electrode,posX,posY,radius
1,935,308,25
2,842,311,25
3,782,343,25
4,702,372,25
5,664,430,25
6,626,486,25
7,589,550,25
8,845,236,25
9,750,261,25
10,703,310,25
11,626,360,25
12,588,430,25
13,558,506,25
14,733,188,25
15,628,238,25
16,626,297,25
17,629,116,25
18,552,308,25
19,552,370,25
20,520,456,25
21,525,186,25
22,502,260,25
23,473,341,25
24,484,404,25
25,412,231,25
26,413,306,25
27,417,382,25
28,428,460,25
29,468,516,25
30,516,562,25
31,564,625,25
32,320,302,25
33,326,395,25
34,358,460,25
35,394,528,25
36,446,592,25
37,514,644,25
38,236,422,25
39,272,519,25
40,324,562,25
41,382,603,25
42,457,665,25
43,166,444,25
44,203,513,25
45,261,634,25
46,328,666,25
47,396,686,25
48,87,430,25
49,140,600,25
50,283,725,25
51,352,734,25
52,428,746,25
53,491,721,25
54,557,700,25
55,625,668,25
56,161,748,25
57,228,766,25
58,321,802,25
59,410,817,27
60,481,798,25
61,548,764,25
62,625,781,25
63,224,876,25
64,309,893,27
65,409,896,27
66,491,875,27
67,547,832,25
68,334,999,27
69,446,992,27
70,516,950,27
71,568,903,25
72,624,846,25
73,474,1064,25
74,545,1024,25
75,621,967,25
76,671,905,25
77,698,834,25
78,699,766,25
79,691,701,25
80,686,626,25
81,620,1088,25
82,696,1025,25
83,728,953,27
84,753,877,27
85,765,801,25
86,756,724,25
87,735,646,25
88,767,1067,25
89,796,996,27
90,834,900,27
91,835,821,27
92,818,750,25
93,791,668,25
94,907,1004,27
95,934,898,27
96,925,808,25
97,895,738,25
98,851,691,25
99,1021,884,25
100,1019,773,25
101,965,732,25
102,920,670,25
103,868,606,25
104,803,596,25
105,735,564,25
106,662,551,25
107,1086,756,25
108,988,640,25
109,926,568,25
110,857,532,25
111,783,518,25
112,694,508,25
113,1109,609,25
114,1048,521,25
115,980,522,25
116,894,464,25
117,824,464,25
118,732,460,25
119,1165,441,25
120,1086,452,25
121,1018,430,25
122,928,400,25
123,837,386,25
124,770,408,25
125,1004,280,25
126,705,48,25
127,555,47,25
128,252,273,25
129,624,603,25
